,Type,Nmin,Nmax,LiftMP,gurobi_2.0,gurobi_4.0,gurobi_8.0
BarabasiAlbert_50.0,BarabasiAlbert,50.0,50.0,-42.882,-42.818,-42.818,-42.818
BarabasiAlbert_100.0,BarabasiAlbert,100.0,100.0,-83.427,-83.189,-83.189,-83.189
BarabasiAlbert_400.0,BarabasiAlbert,400.0,400.0,-248.735,-246.465,-246.465,-246.465
COLLAB,COLLAB,100.0,100.0,-67.504,,,
ENZYMES,ENZYMES,100.0,100.0,-20.0,,,
ErdosRenyi_50.0,ErdosRenyi,50.0,50.0,-55.247,-54.672,-54.672,-54.672
ErdosRenyi_100.0,ErdosRenyi,100.0,100.0,-126.517,-122.861,-122.771,-122.704
ErdosRenyi_400.0,ErdosRenyi,400.0,400.0,-420.701,-419.945,-417.029,-416.336
IMDB-BINARY,IMDB-BINARY,100.0,100.0,-16.76,,,
MUTAG,MUTAG,100.0,100.0,-7.7368421052631575,,,
PROTEINS,PROTEINS,100.0,100.0,-25.294642857142858,,,
PowerlawCluster_50.0,PowerlawCluster,50.0,50.0,-43.061,-42.977,-42.977,-42.977
PowerlawCluster_100.0,PowerlawCluster,100.0,100.0,-84.378,-84.069,-84.069,-84.069
PowerlawCluster_400.0,PowerlawCluster,400.0,400.0,-249.258,-247.568,-247.568,-247.568
WattsStrogatz_50.0,WattsStrogatz,50.0,50.0,-46.379,-45.737,-45.737,-45.737
WattsStrogatz_100.0,WattsStrogatz,100.0,100.0,-91.279,-89.798,-89.798,-89.798
WattsStrogatz_400.0,WattsStrogatz,400.0,400.0,-274.214,-269.394,-269.394,-269.394
